ep,pid,ev,mu,sig
50,1644525,-0.016,-303,1.07e+03
51,1644525,-0.040,-295,1.06e+03
52,1644525,-0.330,-288,1.04e+03
53,1644525,-0.001,-281,1.03e+03
54,1644525,+0.014,-275,1.02e+03
55,1644525,+0.084,-268,1.01e+03
56,1644525,+0.053,-262,999
57,1644525,+0.082,-256,989
58,1644525,-0.334,-251,978
59,1644525,-4.787,-245,968
60,1644525,+0.118,-240,958
61,1644525,-2.326,-235,949
62,1644525,+0.259,-230,939
63,1644525,-0.004,-225,930
64,1644525,+0.020,-220,920
65,1644525,+0.026,-216,911
66,1644525,-0.252,-211,903
67,1644525,-0.446,-207,894
68,1644525,-0.462,-203,885
69,1644525,-2.666,-199,877
70,1644525,-0.094,-195,869
71,1644525,+0.227,-191,861
72,1644525,+0.329,-188,853
73,1644525,+0.081,-184,845
74,1644525,+0.201,-181,837
75,1644525,-0.113,-177,830
76,1644525,-0.146,-174,823
77,1644525,+0.694,-171,815
78,1644525,-0.034,-168,808
79,1644525,+0.478,-165,801
80,1644525,+0.642,-162,794
81,1644525,+0.551,-159,787
82,1644525,-0.005,-156,781
83,1644525,+0.917,-153,774
84,1644525,+0.881,-151,768
85,1644525,+0.952,-148,761
86,1644525,+0.973,-146,755
87,1644525,+0.355,-143,749
88,1644525,-1.104,-141,742
89,1644525,-1.384,-138,736
90,1644525,-0.028,-136,730
91,1644525,+0.207,-134,725
92,1644525,-0.797,-132,719
93,1644525,+0.955,-130,713
94,1644525,-1.363,-127,707
95,1644525,+0.954,-125,702
96,1644525,-0.059,-123,696
97,1644525,+0.417,-121,691
98,1644525,-0.049,-120,686
99,1644525,-0.362,-118,680
100,1644525,-0.071,-116,675
101,1644525,-0.097,-114,670
102,1644525,-0.315,-112,665
103,1644525,-0.064,-111,660
104,1644525,-0.975,-109,655
105,1644525,-0.323,-107,650
106,1644525,-0.266,-106,645
107,1644525,-0.078,-104,641
108,1644525,-0.152,-102,636
109,1644525,-0.143,-101,631
110,1644525,+0.035,-99.5,627
111,1644525,+0.007,-98,622
112,1644525,+0.014,-96.6,618
113,1644525,+0.112,-95.2,613
114,1644525,+0.240,-93.8,609
115,1644525,-0.066,-92.5,604
116,1644525,-0.346,-91.2,600
117,1644525,-0.302,-89.9,596
118,1644525,+0.072,-88.6,592
119,1644525,+0.757,-87.3,588
120,1644525,+0.465,-86.1,583
121,1644525,+0.956,-84.9,579
122,1644525,-0.080,-83.7,575
123,1644525,-0.099,-82.6,571
124,1644525,+0.378,-81.4,567
125,1644525,+0.620,-80.3,564
126,1644525,+0.293,-79.2,560
127,1644525,+0.028,-78.1,556
128,1644525,+0.732,-77.1,552
129,1644525,+0.841,-76,548
130,1644525,+0.930,-75,545
131,1644525,+0.977,-74,541
132,1644525,+0.993,-73,537
133,1644525,+0.984,-72,534
134,1644525,-0.574,-71.1,530
135,1644525,-0.281,-70.1,527
136,1644525,+0.600,-69.2,523
137,1644525,-0.765,-68.3,520
138,1644525,-0.228,-67.4,517
139,1644525,-0.273,-66.5,513
140,1644525,-0.103,-65.6,510
141,1644525,-0.344,-64.8,507
142,1644525,-0.145,-64,503
143,1644525,-0.289,-63.1,500
144,1644525,-3.128,-62.3,497
145,1644525,-2.335,-61.5,494
146,1644525,-2.498,-60.7,490
147,1644525,-4093238.829,-60.7,490
148,1644525,-1.405,-60,487
149,1644525,-4159708.076,-60,487
150,1644525,-1.723,-59.2,484
151,1644525,-4506630.276,-59.2,484
152,1644525,-2.868,-58.5,481
153,1644525,-4579983.483,-58.5,481
154,1644525,-1.852,-57.7,478
155,1644525,-0.441,-57,475
156,1644525,-1.005,-56.3,472
157,1644525,-0.898,-55.6,469
158,1644525,-0.109,-54.9,466
159,1644525,-1.068,-54.2,463
160,1644525,-1.375,-53.5,460
161,1644525,-0.311,-52.9,457
162,1644525,-1.223,-52.2,455
163,1644525,-0.740,-51.6,452
164,1644525,-1.069,-51,449
165,1644525,-1.221,-50.3,446
166,1644525,+0.402,-49.7,444
167,1644525,+0.029,-49.1,441
168,1644525,-0.197,-48.5,438
169,1644525,+0.192,-47.9,435
170,1644525,+0.170,-47.4,433
171,1644525,-0.053,-46.8,430
172,1644525,+0.105,-46.2,428
173,1644525,+0.449,-45.7,425
174,1644525,-0.300,-45.1,422
175,1644525,+0.023,-44.6,420
176,1644525,+0.091,-44.1,417
177,1644525,-0.048,-43.6,415
178,1644525,-0.965,-43,412
179,1644525,+0.270,-42.5,410
180,1644525,-0.170,-42,407
181,1644525,+0.138,-41.5,405
182,1644525,+0.384,-41.1,403
183,1644525,-0.395,-40.6,400
184,1644525,+0.205,-40.1,398
185,1644525,+0.259,-39.6,395
186,1644525,+0.445,-39.2,393
187,1644525,+0.184,-38.7,391
188,1644525,+0.899,-38.3,388
189,1644525,-0.615,-37.8,386
190,1644525,+0.973,-37.4,384
191,1644525,+0.391,-37,382
192,1644525,+0.442,-36.5,379
193,1644525,+0.777,-36.1,377
194,1644525,+0.706,-35.7,375
195,1644525,+0.941,-35.3,373
196,1644525,+0.942,-34.9,371
197,1644525,+0.775,-34.5,369
198,1644525,+0.753,-34.1,366
199,1644525,+0.598,-33.7,364
200,1644525,+0.976,-33.4,362
201,1644525,+0.973,-33,360
202,1644525,-0.322,-32.6,358
203,1644525,+0.637,-32.3,356
204,1644525,-0.239,-31.9,354
205,1644525,+0.478,-31.5,352
206,1644525,+0.918,-31.2,350
207,1644525,+0.842,-30.8,348
208,1644525,+0.580,-30.5,346
209,1644525,+0.516,-30.2,344
210,1644525,+0.901,-29.8,342
211,1644525,+0.573,-29.5,340
212,1644525,+0.144,-29.2,338
213,1644525,+0.950,-28.9,336
214,1644525,-0.921,-28.5,334
215,1644525,+0.905,-28.2,332
216,1644525,-0.565,-27.9,331
217,1644525,-0.287,-27.6,329
218,1644525,+0.183,-27.3,327
219,1644525,+0.910,-27,325
220,1644525,+0.910,-26.7,323
221,1644525,-0.025,-26.4,321
222,1644525,+0.953,-26.1,320
223,1644525,+0.961,-25.9,318
224,1644525,-0.291,-25.6,316
225,1644525,+0.062,-25.3,314
226,1644525,-0.113,-25,312
227,1644525,+0.967,-24.8,311
228,1644525,+0.016,-24.5,309
229,1644525,-0.163,-24.2,307
230,1644525,+0.337,-24,306
231,1644525,-0.127,-23.7,304
232,1644525,-0.536,-23.5,302
233,1644525,+0.874,-23.2,300
234,1644525,-0.081,-23,299
235,1644525,-0.223,-22.7,297
236,1644525,+0.441,-22.5,296
237,1644525,+0.874,-22.3,294
238,1644525,+0.489,-22,292
239,1644525,+0.758,-21.8,291
240,1644525,+0.861,-21.6,289
241,1644525,-0.025,-21.3,288
242,1644525,+0.235,-21.1,286
243,1644525,+0.929,-20.9,284
244,1644525,-0.084,-20.7,283
245,1644525,-0.986,-20.5,281
246,1644525,+0.030,-20.2,280
247,1644525,-0.058,-20,278
248,1644525,+0.831,-19.8,277
249,1644525,+0.599,-19.6,275
250,1644525,+0.770,-19.4,274
251,1644525,+0.227,-19.2,272
252,1644525,+0.861,-19,271
253,1644525,+0.889,-18.8,269
254,1644525,+0.384,-18.6,268
255,1644525,-0.042,-18.4,266
256,1644525,+0.915,-18.2,265
257,1644525,+0.921,-18.1,263
258,1644525,+0.288,-17.9,262
259,1644525,+0.293,-17.7,261
260,1644525,+0.880,-17.5,259
261,1644525,+0.964,-17.3,258
262,1644525,-0.103,-17.2,256
263,1644525,+0.063,-17,255
264,1644525,+0.942,-16.8,254
265,1644525,+0.944,-16.6,252
266,1644525,+0.968,-16.5,251
267,1644525,+0.972,-16.3,250
268,1644525,+0.980,-16.1,248
269,1644525,+0.982,-16,247
270,1644525,+0.981,-15.8,246
271,1644525,+0.974,-15.7,244
272,1644525,-0.050,-15.5,243
273,1644525,-1.403,-15.3,242
274,1644525,-0.066,-15.2,240
275,1644525,-0.221,-15,239
276,1644525,-0.631,-14.9,238
277,1644525,-0.093,-14.7,237
278,1644525,-0.213,-14.6,235
279,1644525,-0.647,-14.4,234
280,1644525,-0.728,-14.3,233
281,1644525,-0.292,-14.2,232
