ep,pid,ev,mu,sig
50,1598992,-4.674,-250,1.01e+03
51,1598992,-6.082,-244,994
52,1598992,-6.039,-238,982
53,1598992,-3.123,-232,971
54,1598992,-5.182,-227,959
55,1598992,-5.485,-221,949
56,1598992,-6.552,-216,938
57,1598992,-7.017,-211,928
58,1598992,-9.193,-206,917
59,1598992,-7.225,-202,907
60,1598992,-3.903,-197,898
61,1598992,-5.989,-193,888
62,1598992,-6.882,-188,879
63,1598992,-3.216,-184,870
64,1598992,-3.942,-181,861
65,1598992,-9.255,-177,852
66,1598992,-7.289,-173,844
67,1598992,-6.509,-169,835
68,1598992,-6.591,-166,827
69,1598992,-5.650,-163,819
70,1598992,-5.920,-159,811
71,1598992,-0.428,-156,803
72,1598992,-0.745,-153,796
73,1598992,-0.516,-150,788
74,1598992,-0.421,-147,781
75,1598992,+0.015,-145,774
76,1598992,+0.023,-142,767
77,1598992,+0.551,-139,760
78,1598992,+0.585,-137,753
79,1598992,+0.644,-134,746
80,1598992,+0.905,-132,739
81,1598992,+0.639,-129,733
82,1598992,+0.891,-127,726
83,1598992,+0.837,-125,720
84,1598992,+0.753,-123,714
85,1598992,+0.631,-121,708
86,1598992,+0.662,-118,702
87,1598992,+0.888,-116,696
88,1598992,+0.972,-114,690
89,1598992,+0.936,-112,684
90,1598992,+0.975,-111,679
91,1598992,+0.506,-109,673
92,1598992,+0.953,-107,668
93,1598992,+0.577,-105,662
94,1598992,+0.934,-103,657
95,1598992,+0.791,-102,652
96,1598992,+0.868,-100,646
97,1598992,+0.752,-98.6,641
98,1598992,+0.974,-97,636
99,1598992,+0.948,-95.5,631
100,1598992,+0.963,-94,626
101,1598992,+0.673,-92.5,621
102,1598992,+0.627,-91.1,617
103,1598992,+0.943,-89.7,612
104,1598992,+0.934,-88.3,607
105,1598992,+0.949,-86.9,603
106,1598992,+0.985,-85.6,598
107,1598992,+0.939,-84.3,594
108,1598992,+0.957,-83.1,589
109,1598992,+0.919,-81.8,585
110,1598992,+0.064,-80.6,580
111,1598992,+0.058,-79.4,576
112,1598992,+0.651,-78.3,572
113,1598992,+0.749,-77.1,568
114,1598992,+0.787,-76,564
115,1598992,+0.930,-74.9,560
116,1598992,+0.825,-73.8,556
117,1598992,+0.793,-72.8,552
118,1598992,+0.654,-71.7,548
119,1598992,+0.224,-70.7,544
120,1598992,+0.838,-69.7,540
121,1598992,+0.511,-68.7,536
122,1598992,+0.912,-67.8,532
123,1598992,+0.030,-66.8,529
124,1598992,+0.218,-65.9,525
125,1598992,+0.933,-65,521
126,1598992,+0.946,-64.1,518
127,1598992,+0.941,-63.2,514
128,1598992,+0.905,-62.3,511
129,1598992,+0.418,-61.5,507
130,1598992,+0.559,-60.7,504
131,1598992,+0.434,-59.8,500
132,1598992,+0.804,-59,497
133,1598992,+0.593,-58.3,494
134,1598992,+0.516,-57.5,490
135,1598992,+0.861,-56.7,487
136,1598992,+0.950,-56,484
137,1598992,+0.959,-55.2,480
138,1598992,+0.849,-54.5,477
139,1598992,+0.909,-53.8,474
140,1598992,+0.962,-53.1,471
141,1598992,+0.886,-52.4,468
