ep,pid,ev,mu,sig,mean,best,ent,buf,step
50,3699610,-15.037,-0.00034,0.1,,,,,
51,3699610,-13.543,-0.00034,0.1,,,,,
52,3699610,-14.394,-0.00034,0.1,,,,,
53,3699610,-5.806,-0.00034,0.1,,,,,
54,3699610,-10.470,-0.00034,0.1,,,,,
55,3699610,-5.556,-0.00034,0.1,,,,,
56,3699610,-14.313,-0.00034,0.1,,,,,
57,3699610,-13.997,-0.00034,0.1,,,,,
58,3699610,-14.346,-0.00034,0.1,,,,,
59,3699610,-19.676,-0.00034,0.1,,,,,
60,3699610,-10.686,-0.00034,0.1,,,,,
61,3699610,-11.166,-0.00034,0.1,,,,,
62,3699610,-5.624,-0.00034,0.1,,,,,
63,3699610,-11.421,-0.00034,0.1,,,,,
64,3699610,-10.453,-0.00034,0.1,,,,,
65,3699610,-22.343,-0.00034,0.1,,,,,
66,3699610,-10.698,-0.00034,0.1,,,,,
67,3699610,-21.036,-0.00034,0.1,,,,,
68,3699610,-2.276,-0.00034,0.1,,,,,
69,3699610,-10.677,-0.00034,0.1,,,,,
70,3699610,-9.049,-0.00034,0.1,,,,,
71,3699610,-13.383,-0.00034,0.1,,,,,
72,3699610,-8.249,-0.00034,0.1,,,,,
73,3699610,-6.893,-0.00034,0.1,,,,,
74,3699610,-12.205,-0.00034,0.1,,,,,
75,3699610,-3.883,-0.00034,0.1,,,,,
76,3699610,-16.447,-0.00034,0.1,,,,,
77,3699610,-4.051,-0.00034,0.1,,,,,
78,3699610,-8.029,-0.00034,0.1,,,,,
79,3699610,-7.887,-0.00034,0.1,,,,,
80,3699610,-6.227,-0.00034,0.1,,,,,
81,3699610,-7.023,-0.00034,0.1,,,,,
82,3699610,-6.283,-0.00034,0.1,,,,,
83,3699610,-2.596,-0.00034,0.1,,,,,
84,3699610,-4.362,-0.00034,0.1,,,,,
85,3699610,-7.953,-0.00034,0.1,,,,,
86,3699610,-3.134,-0.00034,0.1,,,,,
87,3699610,-6.338,-0.00034,0.1,,,,,
88,3699610,-4.271,-0.00034,0.1,,,,,
89,3699610,-5.714,-0.00034,0.1,,,,,
90,3699610,-1.032,-0.00034,0.1,,,,,
91,3699610,-3.041,-0.00034,0.1,,,,,
92,3699610,-2.021,-0.00034,0.1,,,,,
93,3699610,-1.916,-0.00034,0.1,,,,,
94,3699610,-0.902,-0.00034,0.1,,,,,
95,3699610,-6.368,-0.00034,0.1,,,,,
96,3699610,-1.051,-0.00034,0.1,,,,,
97,3699610,-0.173,-0.00034,0.1,,,,,
98,3699610,-0.082,-0.00034,0.1,,,,,
99,3699610,-0.173,-0.00034,0.1,,,,,
100,3699610,-0.550,-0.00034,0.1,,,,,
101,3699610,-0.800,-0.00034,0.1,,,,,
102,3699610,-0.364,-0.00034,0.1,,,,,
103,3699610,+0.292,-0.00034,0.1,,,,,
104,3699610,-2.727,-0.00034,0.1,,,,,
105,3699610,-0.342,-0.00034,0.1,,,,,
106,3699610,-0.004,-0.00034,0.1,,,,,
107,3699610,-2.272,-0.00034,0.1,,,,,
108,3699610,-1.914,-0.00034,0.1,,,,,
109,3699610,-0.348,-0.00034,0.1,,,,,
110,3699610,+0.129,-0.00034,0.1,,,,,
111,3699610,-0.185,-0.00034,0.1,,,,,
112,3699610,+0.478,-0.00034,0.1,,,,,
113,3699610,+0.510,-0.00034,0.1,,,,,
114,3699610,-0.370,-0.00034,0.1,,,,,
115,3699610,+0.395,-0.00034,0.1,,,,,
116,3699610,+0.269,-0.00034,0.1,,,,,
117,3699610,-0.440,-0.00034,0.1,,,,,
118,3699610,-0.651,-0.00034,0.1,,,,,
119,3699610,-1.875,-0.00034,0.1,,,,,
120,3699610,-2.185,-0.00034,0.1,,,,,
121,3699610,-10.887,-0.00034,0.1,,,,,
122,3699610,-0.719,-0.00034,0.1,,,,,
123,3699610,-4.177,-0.00034,0.1,,,,,
124,3699610,-1.434,-0.00034,0.1,,,,,
125,3699610,-2.746,-0.00034,0.1,,,,,
126,3699610,-1.224,-0.00034,0.1,,,,,
127,3699610,-0.032,-0.00034,0.1,,,,,
128,3699610,+0.078,-0.00034,0.1,,,,,
129,3699610,-0.037,-0.00034,0.1,,,,,
130,3699610,+0.416,-0.00034,0.1,,,,,
131,3699610,-1.572,-0.00034,0.1,,,,,
132,3699610,-2.216,-0.00034,0.1,,,,,
133,3699610,-0.700,-0.00034,0.1,,,,,
134,3699610,-0.553,-0.00034,0.1,,,,,
135,3699610,-0.056,-0.00034,0.1,,,,,
136,3699610,-0.426,-0.00034,0.1,,,,,
137,3699610,-0.783,-0.00034,0.1,,,,,
138,3699610,+0.574,-0.00034,0.1,,,,,
139,3699610,+0.570,-0.00034,0.1,,,,,
140,3699610,+0.438,-0.00034,0.1,,,,,
141,3699610,+0.632,-0.00034,0.1,,,,,
142,3699610,+0.523,-0.00034,0.1,,,,,
143,3699610,+0.630,-0.00034,0.1,,,,,
144,3699610,-0.231,-0.00034,0.1,,,,,
145,3699610,+0.343,-0.00034,0.1,,,,,
146,3699610,+0.096,-0.00034,0.1,,,,,
147,3699610,-1.070,-0.00034,0.1,,,,,
148,3699610,-0.638,-0.00034,0.1,,,,,
149,3699610,-0.113,-0.00034,0.1,,,,,
150,3699610,-6.177,-0.00034,0.1,,,,,
151,3699610,-0.524,-0.00034,0.1,,,,,
152,3699610,+0.083,-0.00034,0.1,,,,,
153,3699610,+0.177,-0.00034,0.1,,,,,
154,3699610,-0.091,-0.00034,0.1,,,,,
155,3699610,-0.177,-0.00034,0.1,,,,,
156,3699610,-0.907,-0.00034,0.1,,,,,
157,3699610,+0.316,-0.00034,0.1,,,,,
158,3699610,-0.204,-0.00034,0.1,,,,,
159,3699610,+0.185,-0.00034,0.1,,,,,
160,3699610,+0.417,-0.00034,0.1,,,,,
161,3699610,+0.110,-0.00034,0.1,,,,,
162,3699610,+0.014,-0.00034,0.1,,,,,
163,3699610,+0.029,-0.00034,0.1,,,,,
164,3699610,+0.433,-0.00034,0.1,,,,,
165,3699610,+0.541,-0.00034,0.1,,,,,
166,3699610,+0.671,-0.00034,0.1,,,,,
167,3699610,+0.426,-0.00034,0.1,,,,,
168,3699610,+0.590,-0.00034,0.1,,,,,
169,3699610,+0.639,-0.00034,0.1,,,,,
170,3699610,-0.387,-0.00034,0.1,,,,,
171,3699610,+0.425,-0.00034,0.1,,,,,
172,3699610,+0.698,-0.00034,0.1,,,,,
173,3699610,+0.470,-0.00034,0.1,,,,,
