ep,pid,ev,mu,sig,mean,best,ent,buf,step
50,3445746,-52.550,-0.00034,0.1,,,,,
51,3445746,-48.217,-0.00034,0.1,,,,,
52,3445746,-56.562,-0.00034,0.1,,,,,
53,3445746,-36.867,-0.00034,0.1,,,,,
54,3445746,-87.076,-0.00034,0.1,,,,,
55,3445746,-53.304,-0.00034,0.1,,,,,
56,3445746,-103.816,-0.00034,0.1,,,,,
57,3445746,-44.775,-0.00034,0.1,,,,,
58,3445746,-112.742,-0.00034,0.1,,,,,
59,3445746,-24.449,-0.00034,0.1,,,,,
60,3445746,-123.263,-0.00034,0.1,,,,,
61,3445746,-84.218,-0.00034,0.1,,,,,
62,3445746,-115.478,-0.00034,0.1,,,,,
63,3445746,-98.255,-0.00034,0.1,,,,,
64,3445746,-113.640,-0.00034,0.1,,,,,
65,3445746,-62.091,-0.00034,0.1,,,,,
66,3445746,-67.479,-0.00034,0.1,,,,,
67,3445746,-106.213,-0.00034,0.1,,,,,
68,3445746,-182.268,-0.00034,0.1,,,,,
69,3445746,-64.564,-0.00034,0.1,,,,,
70,3445746,-170.105,-0.00034,0.1,,,,,
71,3445746,-105.209,-0.00034,0.1,,,,,
72,3445746,-117.426,-0.00034,0.1,,,,,
73,3445746,-63.323,-0.00034,0.1,,,,,
74,3445746,-106.001,-0.00034,0.1,,,,,
75,3445746,-48.387,-0.00034,0.1,,,,,
76,3445746,-142.536,-0.00034,0.1,,,,,
77,3445746,-59.433,-0.00034,0.1,,,,,
78,3445746,-167.557,-0.00034,0.1,,,,,
79,3445746,-40.031,-0.00034,0.1,,,,,
80,3445746,-102.180,-0.00034,0.1,,,,,
81,3445746,-78.309,-0.00034,0.1,,,,,
82,3445746,-183.095,-0.00034,0.1,,,,,
83,3445746,-73.488,-0.00034,0.1,,,,,
84,3445746,-99.551,-0.00034,0.1,,,,,
85,3445746,-94.589,-0.00034,0.1,,,,,
86,3445746,-53.329,-0.00034,0.1,,,,,
87,3445746,-38.687,-0.00034,0.1,,,,,
88,3445746,-146.673,-0.00034,0.1,,,,,
89,3445746,-59.779,-0.00034,0.1,,,,,
90,3445746,-192.474,-0.00034,0.1,,,,,
91,3445746,-27.628,-0.00034,0.1,,,,,
92,3445746,-79.572,-0.00034,0.1,,,,,
93,3445746,-23.338,-0.00034,0.1,,,,,
94,3445746,-28.332,-0.00034,0.1,,,,,
95,3445746,-14.795,-0.00034,0.1,,,,,
96,3445746,-14.378,-0.00034,0.1,,,,,
97,3445746,-13.712,-0.00034,0.1,,,,,
98,3445746,-28.208,-0.00034,0.1,,,,,
99,3445746,-2.354,-0.00034,0.1,,,,,
100,3445746,-14.265,-0.00034,0.1,,,,,
101,3445746,-2.256,-0.00034,0.1,,,,,
102,3445746,-2.885,-0.00034,0.1,,,,,
103,3445746,+0.095,-0.00034,0.1,,,,,
104,3445746,-10.016,-0.00034,0.1,,,,,
105,3445746,-3.842,-0.00034,0.1,,,,,
106,3445746,-4.020,-0.00034,0.1,,,,,
107,3445746,+0.068,-0.00034,0.1,,,,,
108,3445746,-1.611,-0.00034,0.1,,,,,
109,3445746,-9.906,-0.00034,0.1,,,,,
110,3445746,-0.660,-0.00034,0.1,,,,,
