entropy,best,mean
3.0734,672.0,2604.0
2.7243,488.0,1806.1
2.5043,544.0,1389.6
2.3225,368.0,1199.2
2.0577,380.0,949.1
1.8353,420.0,818.1
1.5450,380.0,749.1
1.1779,368.0,560.4
0.8322,368.0,468.0
0.6702,368.0,430.4
0.6918,324.0,431.5
0.6706,368.0,502.6
0.5739,324.0,421.6
0.7062,368.0,426.4
0.7643,324.0,427.6
0.9549,324.0,412.8
0.7830,324.0,408.9
0.7652,324.0,401.1
0.7607,324.0,400.7
0.8059,324.0,393.6
0.8827,324.0,398.4
0.8777,324.0,459.2
0.8943,324.0,433.2
0.9421,324.0,469.8
0.9418,324.0,461.1
0.8632,324.0,451.0
0.9046,324.0,439.1
0.9785,324.0,449.0
0.9206,324.0,427.2
0.8975,324.0,429.0
0.9640,324.0,368.0
0.7180,324.0,567.5
0.7386,324.0,397.9
0.8154,324.0,367.3
0.8929,324.0,789.7
0.8221,324.0,463.3
0.9085,324.0,368.7
0.9109,324.0,944.4
0.8068,368.0,589.6
0.8671,324.0,394.2
0.7885,324.0,365.8
0.8347,324.0,418.9
0.9804,324.0,362.0
0.8234,324.0,464.0
0.8478,324.0,410.7
1.1877,324.0,352.9
1.1595,324.0,471.9
1.0058,324.0,367.9
1.1965,324.0,364.6
1.2250,324.0,352.4
0.8736,324.0,433.9
0.9803,324.0,367.8
1.0303,324.0,390.2
1.1341,324.0,368.9
1.0612,324.0,395.9
1.1953,324.0,346.0
1.1526,324.0,479.1
1.0131,324.0,367.8
1.1544,324.0,355.9
1.0645,324.0,384.2
1.0501,324.0,369.2
1.0352,324.0,384.2
1.0726,324.0,370.5
1.1104,324.0,372.2
1.0448,324.0,393.8
1.0621,324.0,377.1
1.0945,324.0,374.4
1.2262,324.0,357.8
1.1385,324.0,422.8
1.0608,324.0,375.2
1.0936,324.0,365.2
1.1475,324.0,363.3
1.1888,324.0,360.0
1.1769,324.0,360.9
1.1297,324.0,373.2
1.1074,324.0,365.8
1.0941,324.0,380.2
1.1006,324.0,372.4
1.0965,324.0,380.1
1.0960,324.0,388.9
1.0618,324.0,417.0
1.0620,324.0,370.1
1.0980,324.0,377.5
1.0997,324.0,382.3
1.1038,324.0,368.5
1.0968,324.0,380.7
1.0878,324.0,411.7
1.0602,324.0,379.7
1.0797,324.0,380.1
1.0953,324.0,368.2
1.0972,324.0,377.2
1.0918,324.0,398.9
1.0790,324.0,373.3
1.0889,324.0,372.0
1.0933,324.0,407.4
1.0881,324.0,387.7
1.0863,324.0,376.8
1.0877,324.0,378.5
1.0930,324.0,380.6
1.0920,324.0,384.2
1.0920,324.0,384.2
